utcDate,homeTeam,awayTeam,score
2025-08-22T18:30:00Z,FCB,RBL,6-0
2025-08-23T13:30:00Z,SGE,SVW,4-1
2025-08-23T13:30:00Z,B04,TSG,1-2
2025-08-23T13:30:00Z,SCF,FCA,1-3
2025-08-23T13:30:00Z,UNB,VFB,2-1
2025-08-23T13:30:00Z,HEI,WOB,1-3
2025-08-23T16:30:00Z,STP,BVB,3-3
2025-08-24T13:30:00Z,M05,KOE,0-1
2025-08-24T15:30:00Z,BMG,HSV,0-0
2025-08-29T18:30:00Z,HSV,STP,0-2
2025-08-30T13:30:00Z,RBL,HEI,2-0
2025-08-30T13:30:00Z,SVW,B04,3-3
2025-08-30T13:30:00Z,VFB,BMG,1-0
2025-08-30T13:30:00Z,TSG,SGE,1-3
2025-08-30T16:30:00Z,FCA,FCB,2-3
2025-08-31T13:30:00Z,WOB,M05,1-1
2025-08-31T15:30:00Z,BVB,UNB,3-0
2025-08-31T17:30:00Z,KOE,SCF,4-1
2025-09-12T18:30:00Z,B04,SGE,3-1
2025-09-13T13:30:00Z,SCF,VFB,3-1
2025-09-13T13:30:00Z,M05,RBL,0-1
2025-09-13T13:30:00Z,WOB,KOE,3-3
2025-09-13T13:30:00Z,UNB,TSG,2-4
2025-09-13T13:30:00Z,HEI,BVB,0-2
2025-09-13T16:30:00Z,FCB,HSV,5-0
2025-09-14T13:30:00Z,STP,FCA,2-1
2025-09-14T15:30:00Z,BMG,SVW,0-4
2025-09-19T18:30:00Z,VFB,STP,2-0
2025-09-20T13:30:00Z,SVW,SCF,0-3
2025-09-20T13:30:00Z,FCA,M05,1-4
2025-09-20T13:30:00Z,TSG,FCB,1-4
2025-09-20T13:30:00Z,HSV,HEI,2-1
2025-09-20T16:30:00Z,RBL,KOE,3-1
2025-09-21T13:30:00Z,SGE,UNB,3-4
2025-09-21T15:30:00Z,B04,BMG,1-1
2025-09-21T17:30:00Z,BVB,WOB,1-0
2025-09-26T18:30:00Z,FCB,SVW,4-0
2025-09-27T13:30:00Z,M05,BVB,0-2
2025-09-27T13:30:00Z,WOB,RBL,0-1
2025-09-27T13:30:00Z,STP,B04,1-2
2025-09-27T13:30:00Z,HEI,FCA,2-1
2025-09-27T16:30:00Z,BMG,SGE,4-6
2025-09-28T13:30:00Z,SCF,TSG,1-1
2025-09-28T15:30:00Z,KOE,VFB,1-2
2025-09-28T17:30:00Z,UNB,HSV,0-0
2025-10-03T18:30:00Z,TSG,KOE,0-1
2025-10-04T13:30:00Z,B04,UNB,2-0
2025-10-04T13:30:00Z,BVB,RBL,1-1
2025-10-04T13:30:00Z,SVW,STP,1-0
2025-10-04T13:30:00Z,FCA,WOB,3-1
2025-10-04T16:30:00Z,SGE,FCB,0-3
2025-10-05T13:30:00Z,VFB,HEI,1-0
2025-10-05T15:30:00Z,HSV,M05,4-0
2025-10-05T17:30:00Z,BMG,SCF,0-0
2025-10-17T18:30:00Z,UNB,BMG,
2025-10-18T13:30:00Z,M05,B04,
2025-10-18T13:30:00Z,RBL,HSV,
2025-10-18T13:30:00Z,WOB,VFB,
2025-10-18T13:30:00Z,HEI,SVW,
2025-10-18T13:30:00Z,KOE,FCA,
2025-10-18T16:30:00Z,FCB,BVB,
2025-10-19T13:30:00Z,SCF,SGE,
2025-10-19T15:30:00Z,STP,TSG,
2025-10-24T18:30:00Z,SVW,UNB,
2025-10-25T13:30:00Z,SGE,STP,
2025-10-25T13:30:00Z,BMG,FCB,
2025-10-25T13:30:00Z,FCA,RBL,
2025-10-25T13:30:00Z,TSG,HEI,
2025-10-25T13:30:00Z,HSV,WOB,
2025-10-25T16:30:00Z,BVB,KOE,
2025-10-26T14:30:00Z,B04,SCF,
