utcDate,homeTeam,awayTeam,score
2025-03-29T21:30:00Z,PAU,REC,0-0
2025-03-29T21:30:00Z,CRU,MIR,2-1
2025-03-29T21:30:00Z,FBP,CAM,2-1
2025-03-29T21:30:00Z,FEC,FLU,2-0
2025-03-29T21:30:00Z,JUV,VIT,2-0
2025-03-30T00:00:00Z,FLA,SCI,1-1
2025-03-30T19:00:00Z,PAL,BOT,0-0
2025-03-30T21:30:00Z,VAS,SAN,2-1
2025-03-30T23:00:00Z,BAH,COR,1-1
2025-03-31T23:00:00Z,RBB,CSC,2-2
2025-04-05T21:30:00Z,COR,VAS,3-0
2025-04-05T21:30:00Z,CSC,FBP,2-0
2025-04-06T00:00:00Z,BOT,JUV,2-0
2025-04-06T19:00:00Z,FLU,RBB,2-1
2025-04-06T19:00:00Z,CAM,PAU,0-0
2025-04-06T21:30:00Z,MIR,FEC,1-1
2025-04-06T21:30:00Z,SCI,CRU,3-0
2025-04-06T21:30:00Z,VIT,FLA,1-2
2025-04-06T21:30:00Z,REC,PAL,1-2
2025-04-06T23:30:00Z,SAN,BAH,2-2
2025-04-12T19:00:00Z,RBB,BOT,1-0
2025-04-12T19:00:00Z,JUV,CSC,2-1
2025-04-12T21:30:00Z,PAL,COR,2-0
2025-04-13T00:00:00Z,VAS,REC,3-1
2025-04-13T19:00:00Z,BAH,MIR,1-1
2025-04-13T20:30:00Z,PAU,CRU,1-1
2025-04-13T20:30:00Z,FBP,FLA,0-2
2025-04-13T22:30:00Z,FLU,SAN,1-0
2025-04-13T23:00:00Z,FEC,SCI,0-0
2025-04-13T23:30:00Z,CAM,VIT,2-2
2025-04-16T00:30:00Z,CSC,VAS,2-1
2025-04-16T21:30:00Z,BOT,PAU,2-2
2025-04-16T22:00:00Z,MIR,FBP,4-1
2025-04-16T22:00:00Z,REC,RBB,0-1
2025-04-16T22:30:00Z,COR,FLU,0-2
2025-04-16T22:30:00Z,SCI,PAL,0-1
2025-04-17T00:30:00Z,FLA,JUV,6-0
2025-04-17T00:30:00Z,SAN,CAM,2-0
2025-04-17T00:30:00Z,VIT,FEC,2-1
2025-04-18T00:30:00Z,CRU,BAH,3-0
2025-04-19T19:00:00Z,COR,REC,2-1
2025-04-19T21:30:00Z,VAS,FLA,0-0
2025-04-20T00:00:00Z,FBP,SCI,1-1
2025-04-20T14:00:00Z,JUV,MIR,2-2
2025-04-20T19:00:00Z,PAU,SAN,2-1
2025-04-20T19:00:00Z,CAM,BOT,1-0
2025-04-20T21:30:00Z,FLU,VIT,1-1
2025-04-20T21:30:00Z,FEC,PAL,1-2
2025-04-20T23:30:00Z,RBB,CRU,1-0
2025-04-21T23:00:00Z,BAH,CSC,1-0
2025-04-26T19:00:00Z,SCI,JUV,3-1
2025-04-26T21:30:00Z,MIR,CAM,2-2
2025-04-26T21:30:00Z,CSC,PAU,1-1
2025-04-26T23:00:00Z,REC,FEC,0-0
2025-04-27T00:00:00Z,BOT,FLU,2-0
2025-04-27T19:00:00Z,FLA,COR,4-0
2025-04-27T21:30:00Z,PAL,BAH,0-1
2025-04-27T21:30:00Z,CRU,VAS,1-0
2025-04-27T21:30:00Z,VIT,FBP,1-1
2025-04-27T23:30:00Z,SAN,RBB,1-2
