utcDate,homeTeam,awayTeam,score
2025-08-08T18:00:00Z,SIT,GOA,2-2
2025-08-09T14:30:00Z,NEC,EXC,5-0
2025-08-09T16:45:00Z,FEY,NAC,2-0
2025-08-09T18:00:00Z,HEE,VOL,1-1
2025-08-09T19:00:00Z,PSV,SPA,6-1
2025-08-10T10:15:00Z,ZWO,TWE,1-0
2025-08-10T12:30:00Z,AJA,TEL,2-0
2025-08-10T12:30:00Z,AZ,GRO,4-1
2025-08-10T14:45:00Z,UTR,HER,4-0
2025-08-15T18:00:00Z,TEL,ZWO,0-2
2025-08-16T16:45:00Z,EXC,FEY,1-2
2025-08-16T18:00:00Z,HER,NEC,1-4
2025-08-16T19:00:00Z,GRO,HEE,2-1
2025-08-17T10:15:00Z,GOA,AJA,2-2
2025-08-17T12:30:00Z,SPA,UTR,2-1
2025-08-17T12:30:00Z,TWE,PSV,0-2
2025-08-17T14:45:00Z,VOL,AZ,2-2
2025-08-17T18:00:00Z,NAC,SIT,2-1
2025-08-23T14:30:00Z,GOA,SPA,0-3
2025-08-23T16:45:00Z,PSV,GRO,4-2
2025-08-23T19:00:00Z,TEL,VOL,2-2
2025-08-24T10:15:00Z,HEE,TWE,1-2
2025-08-24T12:30:00Z,UTR,EXC,4-1
2025-08-24T12:30:00Z,NEC,NAC,3-0
2025-08-24T14:45:00Z,AJA,HER,2-0
2025-08-29T18:00:00Z,GRO,HER,4-0
2025-08-30T14:30:00Z,VOL,AJA,1-1
2025-08-30T16:45:00Z,HEE,GOA,2-2
2025-08-30T18:00:00Z,PSV,TEL,0-2
2025-08-30T19:00:00Z,EXC,TWE,1-0
2025-08-31T10:15:00Z,SIT,NEC,3-2
2025-08-31T12:30:00Z,ZWO,UTR,0-2
2025-08-31T12:30:00Z,SPA,FEY,0-4
2025-08-31T14:45:00Z,NAC,AZ,0-1
2025-09-13T14:30:00Z,AJA,ZWO,3-1
2025-09-13T16:45:00Z,NEC,PSV,3-5
2025-09-13T17:10:00Z,GOA,VOL,3-0
2025-09-13T19:00:00Z,FEY,HEE,1-0
2025-09-13T19:00:00Z,TWE,NAC,2-2
2025-09-14T10:15:00Z,EXC,SPA,0-1
2025-09-14T12:30:00Z,UTR,GRO,0-1
2025-09-14T12:30:00Z,HER,AZ,1-2
2025-09-14T14:45:00Z,TEL,SIT,1-3
2025-09-17T18:00:00Z,FEY,SIT,2-0
2025-09-19T18:00:00Z,SPA,TWE,1-5
2025-09-20T14:30:00Z,VOL,EXC,1-2
2025-09-20T16:45:00Z,GRO,TEL,2-0
2025-09-20T18:00:00Z,SIT,UTR,1-0
2025-09-20T19:00:00Z,NAC,HER,2-1
2025-09-21T10:15:00Z,ZWO,GOA,0-2
