utcDate,homeTeam,awayTeam,score
2025-08-08T19:00:00Z,BIR,IPS,1-1
2025-08-09T11:30:00Z,CHA,WAT,1-0
2025-08-09T11:30:00Z,COV,HUL,0-0
2025-08-09T11:30:00Z,SOU,WRE,2-1
2025-08-09T14:00:00Z,MID,SWA,1-0
2025-08-09T14:00:00Z,NOR,MIL,1-2
2025-08-09T14:00:00Z,OXF,POR,0-1
2025-08-09T14:00:00Z,QPR,PNE,1-1
2025-08-09T14:00:00Z,STK,DER,3-1
2025-08-09T14:00:00Z,WBA,BLA,1-0
2025-08-09T16:30:00Z,SHE,BRI,1-4
2025-08-10T15:30:00Z,LEI,SHE,2-1
2025-08-16T11:30:00Z,DER,COV,3-5
2025-08-16T11:30:00Z,POR,NOR,1-2
2025-08-16T11:30:00Z,WRE,WBA,2-3
2025-08-16T14:00:00Z,BLA,BIR,1-2
2025-08-16T14:00:00Z,BRI,CHA,0-0
2025-08-16T14:00:00Z,MIL,MID,0-3
2025-08-16T14:00:00Z,PNE,LEI,2-1
2025-08-16T14:00:00Z,SHE,STK,0-3
2025-08-16T14:00:00Z,SWA,SHE,1-0
2025-08-16T14:00:00Z,WAT,QPR,2-1
2025-08-17T11:00:00Z,IPS,SOU,1-1
2025-08-17T14:00:00Z,HUL,OXF,3-2
2025-08-22T19:00:00Z,DER,BRI,1-1
2025-08-23T11:30:00Z,CHA,LEI,0-1
2025-08-23T11:30:00Z,HUL,BLA,0-3
2025-08-23T11:30:00Z,SWA,WAT,1-1
2025-08-23T14:00:00Z,BIR,OXF,1-0
2025-08-23T14:00:00Z,COV,QPR,7-1
2025-08-23T14:00:00Z,NOR,MID,1-2
2025-08-23T14:00:00Z,PNE,IPS,1-0
2025-08-23T14:00:00Z,SHE,MIL,0-1
2025-08-23T14:00:00Z,SOU,STK,1-2
2025-08-23T14:00:00Z,WBA,POR,1-1
2025-08-23T14:00:00Z,WRE,SHE,2-2
2025-08-29T19:00:00Z,LEI,BIR,2-0
2025-08-30T11:30:00Z,MID,SHE,1-0
2025-08-30T11:30:00Z,QPR,CHA,3-1
2025-08-30T11:30:00Z,STK,WBA,0-1
2025-08-30T14:00:00Z,BLA,NOR,0-2
2025-08-30T14:00:00Z,BRI,HUL,4-2
2025-08-30T14:00:00Z,IPS,DER,2-2
2025-08-30T14:00:00Z,MIL,WRE,0-2
2025-08-30T14:00:00Z,OXF,COV,2-2
2025-08-30T14:00:00Z,POR,PNE,1-0
2025-08-30T14:00:00Z,SHE,SWA,0-2
2025-08-30T14:00:00Z,WAT,SOU,2-2
2025-09-12T19:00:00Z,IPS,SHE,5-0
2025-09-13T11:30:00Z,CHA,MIL,1-1
2025-09-13T11:30:00Z,OXF,LEI,2-2
2025-09-13T11:30:00Z,PNE,MID,2-2
2025-09-13T14:00:00Z,COV,NOR,1-1
2025-09-13T14:00:00Z,SHE,BRI,0-3
2025-09-13T14:00:00Z,STK,BIR,1-0
2025-09-13T14:00:00Z,SWA,HUL,2-2
2025-09-13T14:00:00Z,WAT,BLA,0-1
2025-09-13T14:00:00Z,WBA,DER,0-1
2025-09-13T14:00:00Z,WRE,QPR,1-3
2025-09-14T11:00:00Z,SOU,POR,0-0
2025-09-19T19:00:00Z,MID,WBA,2-1
2025-09-20T11:30:00Z,BIR,SWA,1-0
2025-09-20T11:30:00Z,LEI,COV,0-0
2025-09-20T11:30:00Z,QPR,STK,1-0
2025-09-20T14:00:00Z,DER,PNE,0-1
2025-09-20T14:00:00Z,HUL,SOU,3-1
2025-09-20T14:00:00Z,NOR,WRE,2-3
2025-09-20T14:00:00Z,POR,SHE,0-2
2025-09-20T14:00:00Z,SHE,CHA,0-1
2025-09-21T14:00:00Z,BRI,OXF,1-3
2025-09-22T19:00:00Z,MIL,WAT,1-0
2025-09-26T19:00:00Z,WBA,LEI,1-1
2025-09-27T11:30:00Z,COV,BIR,3-0
2025-09-27T11:30:00Z,SWA,MIL,1-1
2025-09-27T11:30:00Z,WRE,DER,1-1
2025-09-27T14:00:00Z,CHA,BLA,3-0
2025-09-27T14:00:00Z,IPS,POR,2-1
2025-09-27T14:00:00Z,OXF,SHE,0-1
2025-09-27T14:00:00Z,PNE,BRI,0-0
2025-09-27T14:00:00Z,SHE,QPR,1-1
2025-09-27T14:00:00Z,SOU,MID,1-1
2025-09-27T14:00:00Z,STK,NOR,1-1
2025-09-27T14:00:00Z,WAT,HUL,2-1
2025-09-30T18:45:00Z,BIR,SHE,2-2
2025-09-30T18:45:00Z,BLA,SWA,1-2
2025-09-30T18:45:00Z,BRI,IPS,1-1
2025-09-30T18:45:00Z,HUL,PNE,2-2
2025-09-30T18:45:00Z,LEI,WRE,1-1
