utcDate,homeTeam,awayTeam,score
2025-08-15T18:45:00Z,REN,MAR,1-0
2025-08-16T15:00:00Z,RCL,LYO,0-1
2025-08-16T17:00:00Z,ASM,HAC,3-1
2025-08-16T19:05:00Z,NIC,TOU,0-1
2025-08-17T13:00:00Z,BRE,LIL,3-3
2025-08-17T15:15:00Z,AJA,FCL,1-0
2025-08-17T15:15:00Z,FCM,RC ,0-1
2025-08-17T15:15:00Z,ANG,PFC,1-0
2025-08-17T18:45:00Z,NAN,PSG,0-1
2025-08-22T18:45:00Z,PSG,ANG,1-0
2025-08-23T15:00:00Z,MAR,PFC,5-2
2025-08-23T17:00:00Z,NIC,AJA,3-1
2025-08-23T19:05:00Z,LYO,FCM,3-0
2025-08-24T13:00:00Z,FCL,REN,4-0
2025-08-24T15:15:00Z,HAC,RCL,1-2
2025-08-24T15:15:00Z,TOU,BRE,2-0
2025-08-24T15:15:00Z,RC ,NAN,1-0
2025-08-24T18:45:00Z,LIL,ASM,1-0
2025-08-29T18:45:00Z,RCL,BRE,3-1
2025-08-30T15:00:00Z,FCL,LIL,1-7
2025-08-30T17:00:00Z,NAN,AJA,1-0
2025-08-30T19:05:00Z,TOU,PSG,3-6
2025-08-31T13:00:00Z,ANG,REN,1-1
2025-08-31T15:15:00Z,HAC,NIC,3-1
2025-08-31T15:15:00Z,ASM,RC ,3-2
2025-08-31T15:15:00Z,PFC,FCM,3-2
2025-08-31T18:45:00Z,LYO,MAR,1-0
2025-09-12T18:45:00Z,MAR,FCL,4-0
2025-09-13T15:00:00Z,NIC,NAN,1-0
2025-09-13T19:05:00Z,AJA,ASM,1-2
2025-09-14T13:00:00Z,LIL,TOU,2-1
2025-09-14T15:15:00Z,FCM,ANG,1-1
2025-09-14T15:15:00Z,PSG,RCL,2-0
2025-09-14T15:15:00Z,RC ,HAC,1-0
2025-09-14T15:15:00Z,BRE,PFC,1-2
2025-09-14T18:45:00Z,REN,LYO,3-1
2025-09-19T18:45:00Z,LYO,ANG,1-0
2025-09-20T15:00:00Z,NAN,REN,2-2
2025-09-20T17:00:00Z,BRE,NIC,4-1
2025-09-20T19:05:00Z,RCL,LIL,3-0
2025-09-21T13:00:00Z,PFC,RC ,2-3
2025-09-21T15:15:00Z,HAC,FCL,1-1
2025-09-21T15:15:00Z,AJA,TOU,1-0
2025-09-21T15:15:00Z,ASM,FCM,5-2
2025-09-22T18:00:00Z,MAR,PSG,1-0
2025-09-26T18:45:00Z,RC ,MAR,1-2
2025-09-27T15:00:00Z,FCL,ASM,3-1
2025-09-27T17:00:00Z,TOU,NAN,2-2
2025-09-27T19:05:00Z,PSG,AJA,2-0
2025-09-28T13:00:00Z,NIC,PFC,1-1
2025-09-28T15:15:00Z,FCM,HAC,0-0
2025-09-28T15:15:00Z,LIL,LYO,0-1
2025-09-28T15:15:00Z,ANG,BRE,0-2
2025-09-28T18:45:00Z,REN,RCL,0-0
2025-10-03T18:45:00Z,PFC,FCL,2-0
2025-10-04T15:00:00Z,FCM,MAR,0-3
2025-10-04T17:00:00Z,BRE,NAN,0-0
2025-10-04T19:05:00Z,AJA,RCL,1-2
2025-10-05T13:00:00Z,LYO,TOU,1-2
2025-10-05T15:15:00Z,RC ,ANG,5-0
2025-10-05T15:15:00Z,HAC,REN,2-2
2025-10-05T15:15:00Z,ASM,NIC,2-2
2025-10-05T18:45:00Z,LIL,PSG,1-1
2025-10-17T18:45:00Z,PSG,RC ,3-3
2025-10-18T15:00:00Z,NIC,LYO,3-2
2025-10-18T17:00:00Z,ANG,ASM,1-1
2025-10-18T19:05:00Z,MAR,HAC,6-2
2025-10-19T13:00:00Z,RCL,PFC,2-1
2025-10-19T15:15:00Z,FCL,BRE,3-3
2025-10-19T15:15:00Z,TOU,FCM,4-0
2025-10-19T15:15:00Z,REN,AJA,2-2
2025-10-19T18:45:00Z,NAN,LIL,0-2
2025-10-24T18:45:00Z,PFC,NAN,1-2
2025-10-25T15:00:00Z,BRE,PSG,0-3
2025-10-25T17:00:00Z,ASM,TOU,1-0
2025-10-25T19:05:00Z,RCL,MAR,2-1
2025-10-26T14:00:00Z,LIL,FCM,6-1
2025-10-26T16:15:00Z,AJA,HAC,0-1
2025-10-26T16:15:00Z,ANG,FCL,2-0
2025-10-26T16:15:00Z,REN,NIC,1-2
2025-10-26T19:45:00Z,LYO,RC ,2-1
2025-10-29T18:00:00Z,HAC,BRE,1-0
2025-10-29T18:00:00Z,FCL,PSG,1-1
2025-10-29T18:00:00Z,FCM,RCL,2-0
2025-10-29T18:00:00Z,NIC,LIL,2-0
2025-10-29T20:05:00Z,NAN,ASM,3-5
2025-10-29T20:05:00Z,PFC,LYO,3-3
2025-10-29T20:05:00Z,TOU,REN,2-2
2025-10-29T20:05:00Z,MAR,ANG,2-2
2025-10-29T20:05:00Z,RC ,AJA,3-0
2025-11-01T16:00:00Z,PSG,NIC,1-0
2025-11-01T18:00:00Z,ASM,PFC,0-1
2025-11-01T20:05:00Z,AJA,MAR,0-1
2025-11-02T14:00:00Z,REN,RC ,4-1
2025-11-02T16:15:00Z,NAN,FCM,0-2
2025-11-02T16:15:00Z,TOU,HAC,0-0
2025-11-02T16:15:00Z,LIL,ANG,1-0
2025-11-02T16:15:00Z,RCL,FCL,3-0
2025-11-02T19:45:00Z,BRE,LYO,0-0
2025-11-07T19:45:00Z,PFC,REN,0-1
2025-11-08T16:00:00Z,MAR,BRE,3-0
2025-11-08T18:00:00Z,HAC,NAN,1-1
2025-11-08T20:05:00Z,ASM,RCL,1-4
2025-11-09T14:00:00Z,FCL,TOU,1-1
2025-11-09T16:15:00Z,FCM,NIC,2-1
2025-11-09T16:15:00Z,RC ,LIL,2-0
2025-11-09T16:15:00Z,ANG,AJA,2-0
2025-11-09T19:45:00Z,LYO,PSG,2-3
2025-11-21T19:45:00Z,NIC,MAR,1-5
2025-11-22T16:00:00Z,RCL,RC ,
2025-11-22T18:00:00Z,REN,ASM,
2025-11-22T20:05:00Z,PSG,HAC,
2025-11-23T14:00:00Z,AJA,LYO,
2025-11-23T16:15:00Z,NAN,FCL,
2025-11-23T16:15:00Z,TOU,ANG,
2025-11-23T16:15:00Z,BRE,FCM,
2025-11-23T19:45:00Z,LIL,PFC,
