utcDate,homeTeam,awayTeam,score
2025-08-15T19:00:00Z,LIV,BOU,4-2
2025-08-16T11:30:00Z,AVL,NEW,0-0
2025-08-16T14:00:00Z,BHA,FUL,1-1
2025-08-16T14:00:00Z,SUN,WHU,3-0
2025-08-16T14:00:00Z,TOT,BUR,3-0
2025-08-16T16:30:00Z,WOL,MCI,0-4
2025-08-17T13:00:00Z,NOT,BRE,3-1
2025-08-17T13:00:00Z,CHE,CRY,0-0
2025-08-17T15:30:00Z,MUN,ARS,0-1
2025-08-18T19:00:00Z,LEE,EVE,1-0
2025-08-22T19:00:00Z,WHU,CHE,1-5
2025-08-23T11:30:00Z,MCI,TOT,0-2
2025-08-23T14:00:00Z,BOU,WOL,1-0
2025-08-23T14:00:00Z,BRE,AVL,1-0
2025-08-23T14:00:00Z,BUR,SUN,2-0
2025-08-23T16:30:00Z,ARS,LEE,5-0
2025-08-24T13:00:00Z,CRY,NOT,1-1
2025-08-24T13:00:00Z,EVE,BHA,2-0
2025-08-24T15:30:00Z,FUL,MUN,1-1
2025-08-25T19:00:00Z,NEW,LIV,2-3
2025-08-30T11:30:00Z,CHE,FUL,2-0
2025-08-30T14:00:00Z,SUN,BRE,2-1
2025-08-30T14:00:00Z,MUN,BUR,3-2
2025-08-30T14:00:00Z,TOT,BOU,0-1
2025-08-30T14:00:00Z,WOL,EVE,2-3
2025-08-30T16:30:00Z,LEE,NEW,0-0
2025-08-31T13:00:00Z,BHA,MCI,2-1
2025-08-31T13:00:00Z,NOT,WHU,0-3
2025-08-31T15:30:00Z,LIV,ARS,1-0
2025-08-31T18:00:00Z,AVL,CRY,0-3
2025-09-13T11:30:00Z,ARS,NOT,3-0
2025-09-13T14:00:00Z,BOU,BHA,2-1
2025-09-13T14:00:00Z,CRY,SUN,0-0
2025-09-13T14:00:00Z,EVE,AVL,0-0
2025-09-13T14:00:00Z,FUL,LEE,1-0
2025-09-13T14:00:00Z,NEW,WOL,1-0
2025-09-13T16:30:00Z,WHU,TOT,0-3
2025-09-13T19:00:00Z,BRE,CHE,2-2
2025-09-14T13:00:00Z,BUR,LIV,0-1
2025-09-14T15:30:00Z,MCI,MUN,3-0
2025-09-20T11:30:00Z,LIV,EVE,2-1
2025-09-20T14:00:00Z,BHA,TOT,2-2
2025-09-20T14:00:00Z,BUR,NOT,1-1
2025-09-20T14:00:00Z,WHU,CRY,1-2
2025-09-20T14:00:00Z,WOL,LEE,1-3
2025-09-20T16:30:00Z,MUN,CHE,2-1
2025-09-20T19:00:00Z,FUL,BRE,3-1
2025-09-21T13:00:00Z,BOU,NEW,0-0
2025-09-21T13:00:00Z,SUN,AVL,1-1
2025-09-21T15:30:00Z,ARS,MCI,1-1
2025-09-27T11:30:00Z,BRE,MUN,3-1
2025-09-27T14:00:00Z,CRY,LIV,2-1
2025-09-27T14:00:00Z,CHE,BHA,1-3
2025-09-27T14:00:00Z,LEE,BOU,2-2
2025-09-27T14:00:00Z,MCI,BUR,5-1
2025-09-27T16:30:00Z,NOT,SUN,0-1
2025-09-27T19:00:00Z,TOT,WOL,1-1
2025-09-28T13:00:00Z,AVL,FUL,
2025-09-28T15:30:00Z,NEW,ARS,
2025-09-29T19:00:00Z,EVE,WHU,
2025-10-03T19:00:00Z,BOU,FUL,
2025-10-04T11:30:00Z,LEE,TOT,
2025-10-04T14:00:00Z,ARS,WHU,
2025-10-04T14:00:00Z,MUN,SUN,
2025-10-04T16:30:00Z,CHE,LIV,
2025-10-05T13:00:00Z,AVL,BUR,
2025-10-05T13:00:00Z,EVE,CRY,
2025-10-05T13:00:00Z,NEW,NOT,
2025-10-05T13:00:00Z,WOL,BHA,
2025-10-05T15:30:00Z,BRE,MCI,
2025-10-18T11:30:00Z,NOT,CHE,
2025-10-18T14:00:00Z,BHA,NEW,
2025-10-18T14:00:00Z,CRY,BOU,
2025-10-18T14:00:00Z,BUR,LEE,
2025-10-18T14:00:00Z,MCI,EVE,
2025-10-18T14:00:00Z,SUN,WOL,
2025-10-18T16:30:00Z,FUL,ARS,
2025-10-19T13:00:00Z,TOT,AVL,
2025-10-19T15:30:00Z,LIV,MUN,
2025-10-20T19:00:00Z,WHU,BRE,
2025-10-24T19:00:00Z,LEE,WHU,
2025-10-25T14:00:00Z,CHE,SUN,
2025-10-25T14:00:00Z,NEW,FUL,
2025-10-25T16:30:00Z,MUN,BHA,
2025-10-25T19:00:00Z,BRE,LIV,
2025-10-26T14:00:00Z,BOU,NOT,
2025-10-26T14:00:00Z,AVL,MCI,
2025-10-26T14:00:00Z,ARS,CRY,
2025-10-26T14:00:00Z,WOL,BUR,
2025-10-26T16:30:00Z,EVE,TOT,
2025-11-01T15:00:00Z,BHA,LEE,
2025-11-01T15:00:00Z,CRY,BRE,
2025-11-01T15:00:00Z,BUR,ARS,
2025-11-01T15:00:00Z,FUL,WOL,
2025-11-01T15:00:00Z,NOT,MUN,
2025-11-01T17:30:00Z,TOT,CHE,
2025-11-01T20:00:00Z,LIV,AVL,
2025-11-02T14:00:00Z,WHU,NEW,
2025-11-02T16:30:00Z,MCI,BOU,
2025-11-03T20:00:00Z,SUN,EVE,
2025-11-08T12:30:00Z,TOT,MUN,
2025-11-08T15:00:00Z,EVE,FUL,
2025-11-08T15:00:00Z,WHU,BUR,
2025-11-08T17:30:00Z,SUN,ARS,
2025-11-08T20:00:00Z,CHE,WOL,
2025-11-09T14:00:00Z,AVL,BOU,
2025-11-09T14:00:00Z,CRY,BHA,
2025-11-09T14:00:00Z,BRE,NEW,
2025-11-09T14:00:00Z,NOT,LEE,
2025-11-09T16:30:00Z,MCI,LIV,
2025-11-22T12:30:00Z,BUR,CHE,
2025-11-22T15:00:00Z,BOU,WHU,
2025-11-22T15:00:00Z,BHA,BRE,
2025-11-22T15:00:00Z,FUL,SUN,
2025-11-22T15:00:00Z,LIV,NOT,
2025-11-22T15:00:00Z,WOL,CRY,
2025-11-22T17:30:00Z,NEW,MCI,
2025-11-23T14:00:00Z,LEE,AVL,
