utcDate,homeTeam,awayTeam,score
2025-08-23T16:30:00Z,GEN,USL,0-0
2025-08-23T16:30:00Z,SAS,NAP,0-2
2025-08-23T18:45:00Z,MIL,CRE,1-2
2025-08-23T18:45:00Z,ROM,BOL,1-0
2025-08-24T16:30:00Z,CAG,FIO,1-1
2025-08-24T16:30:00Z,COM,LAZ,2-0
2025-08-24T18:45:00Z,ATA,PIS,1-1
2025-08-24T18:45:00Z,JUV,PAR,2-0
2025-08-25T16:30:00Z,UDI,HVE,1-1
2025-08-25T18:45:00Z,INT,TOR,5-0
2025-08-29T16:30:00Z,CRE,SAS,3-2
2025-08-29T18:45:00Z,USL,MIL,0-2
2025-08-30T16:30:00Z,BOL,COM,1-0
2025-08-30T16:30:00Z,PAR,ATA,1-1
2025-08-30T18:45:00Z,NAP,CAG,1-0
2025-08-30T18:45:00Z,PIS,ROM,0-1
2025-08-31T16:30:00Z,GEN,JUV,0-1
2025-08-31T16:30:00Z,TOR,FIO,0-0
2025-08-31T18:45:00Z,INT,UDI,1-2
2025-08-31T18:45:00Z,LAZ,HVE,4-0
2025-09-13T13:00:00Z,CAG,PAR,2-0
2025-09-13T16:00:00Z,JUV,INT,4-3
2025-09-13T18:45:00Z,FIO,NAP,1-3
2025-09-14T10:30:00Z,ROM,TOR,0-1
2025-09-14T13:00:00Z,ATA,USL,4-1
2025-09-14T13:00:00Z,PIS,UDI,0-1
2025-09-14T16:00:00Z,SAS,LAZ,1-0
2025-09-14T18:45:00Z,MIL,BOL,1-0
2025-09-15T16:30:00Z,HVE,CRE,0-0
2025-09-15T18:45:00Z,COM,GEN,1-1
2025-09-19T18:45:00Z,USL,CAG,1-2
2025-09-20T13:00:00Z,BOL,GEN,2-1
2025-09-20T16:00:00Z,HVE,JUV,1-1
2025-09-20T18:45:00Z,UDI,MIL,0-3
2025-09-21T10:30:00Z,LAZ,ROM,0-1
2025-09-21T13:00:00Z,TOR,ATA,0-3
2025-09-21T13:00:00Z,CRE,PAR,0-0
2025-09-21T16:00:00Z,FIO,COM,1-2
2025-09-21T18:45:00Z,INT,SAS,2-1
2025-09-22T18:45:00Z,NAP,PIS,3-2
2025-09-27T13:00:00Z,COM,CRE,1-1
2025-09-27T16:00:00Z,JUV,ATA,1-1
2025-09-27T18:45:00Z,CAG,INT,0-2
2025-09-28T10:30:00Z,SAS,UDI,3-1
2025-09-28T13:00:00Z,ROM,HVE,2-0
2025-09-28T13:00:00Z,PIS,FIO,0-0
2025-09-28T16:00:00Z,USL,BOL,2-2
2025-09-28T18:45:00Z,MIL,NAP,2-1
2025-09-29T16:30:00Z,PAR,TOR,2-1
2025-09-29T18:45:00Z,GEN,LAZ,0-3
2025-10-03T18:45:00Z,HVE,SAS,0-1
2025-10-04T13:00:00Z,LAZ,TOR,3-3
2025-10-04T13:00:00Z,PAR,USL,0-1
2025-10-04T16:00:00Z,INT,CRE,4-1
2025-10-04T18:45:00Z,ATA,COM,1-1
2025-10-05T10:30:00Z,UDI,CAG,1-1
2025-10-05T13:00:00Z,FIO,ROM,1-2
2025-10-05T13:00:00Z,BOL,PIS,4-0
2025-10-05T16:00:00Z,NAP,GEN,2-1
2025-10-05T18:45:00Z,JUV,MIL,0-0
2025-10-18T13:00:00Z,PIS,HVE,0-0
2025-10-18T13:00:00Z,USL,SAS,0-0
2025-10-18T16:00:00Z,TOR,NAP,1-0
2025-10-18T18:45:00Z,ROM,INT,0-1
2025-10-19T10:30:00Z,COM,JUV,2-0
2025-10-19T13:00:00Z,CAG,BOL,0-2
2025-10-19T13:00:00Z,GEN,PAR,0-0
2025-10-19T16:00:00Z,ATA,LAZ,0-0
2025-10-19T18:45:00Z,MIL,FIO,2-1
2025-10-20T18:45:00Z,CRE,UDI,1-1
2025-10-24T18:45:00Z,MIL,PIS,2-2
2025-10-25T13:00:00Z,PAR,COM,0-0
2025-10-25T13:00:00Z,UDI,USL,3-2
2025-10-25T16:00:00Z,NAP,INT,3-1
2025-10-25T18:45:00Z,CRE,ATA,1-1
2025-10-26T11:30:00Z,TOR,GEN,2-1
2025-10-26T14:00:00Z,HVE,CAG,2-2
2025-10-26T14:00:00Z,SAS,ROM,0-1
2025-10-26T17:00:00Z,FIO,BOL,2-2
2025-10-26T19:45:00Z,LAZ,JUV,1-0
2025-10-28T17:30:00Z,USL,NAP,0-1
2025-10-28T19:45:00Z,ATA,MIL,1-1
2025-10-29T17:30:00Z,ROM,PAR,
2025-10-29T17:30:00Z,COM,HVE,
2025-10-29T17:30:00Z,JUV,UDI,
2025-10-29T19:45:00Z,GEN,CRE,
2025-10-29T19:45:00Z,BOL,TOR,
2025-10-29T19:45:00Z,INT,FIO,
2025-10-30T17:30:00Z,CAG,SAS,
2025-10-30T19:45:00Z,PIS,LAZ,
2025-11-01T14:00:00Z,UDI,ATA,
2025-11-01T17:00:00Z,NAP,COM,
2025-11-01T19:45:00Z,CRE,JUV,
2025-11-02T11:30:00Z,HVE,INT,
2025-11-02T14:00:00Z,FIO,USL,
2025-11-02T14:00:00Z,TOR,PIS,
2025-11-02T17:00:00Z,PAR,BOL,
2025-11-02T19:45:00Z,MIL,ROM,
2025-11-03T17:30:00Z,SAS,GEN,
2025-11-03T19:45:00Z,LAZ,CAG,
2025-11-07T19:45:00Z,PIS,CRE,
2025-11-08T14:00:00Z,COM,CAG,
2025-11-08T14:00:00Z,USL,HVE,
2025-11-08T17:00:00Z,JUV,TOR,
2025-11-08T19:45:00Z,PAR,MIL,
2025-11-09T11:30:00Z,ATA,SAS,
2025-11-09T14:00:00Z,GEN,FIO,
2025-11-09T14:00:00Z,BOL,NAP,
2025-11-09T17:00:00Z,ROM,UDI,
2025-11-09T19:45:00Z,INT,LAZ,
2025-11-22T14:00:00Z,CAG,GEN,
2025-11-22T14:00:00Z,UDI,BOL,
2025-11-22T17:00:00Z,FIO,JUV,
2025-11-22T19:45:00Z,NAP,ATA,
2025-11-23T11:30:00Z,HVE,PAR,
2025-11-23T14:00:00Z,CRE,ROM,
2025-11-23T17:00:00Z,LAZ,USL,
2025-11-23T19:45:00Z,INT,MIL,
2025-11-24T17:30:00Z,TOR,COM,
2025-11-24T19:45:00Z,SAS,PIS,
2025-11-28T19:45:00Z,COM,SAS,
2025-11-29T14:00:00Z,GEN,HVE,
2025-11-29T14:00:00Z,PAR,UDI,
2025-11-29T17:00:00Z,JUV,CAG,
2025-11-29T19:45:00Z,MIL,LAZ,
2025-11-30T11:30:00Z,USL,TOR,
2025-11-30T14:00:00Z,PIS,INT,
2025-11-30T17:00:00Z,ATA,FIO,
2025-11-30T19:45:00Z,ROM,NAP,
2025-12-01T19:45:00Z,BOL,CRE,
2025-12-06T14:00:00Z,SAS,FIO,
2025-12-06T17:00:00Z,INT,COM,
2025-12-06T19:45:00Z,HVE,ATA,
2025-12-07T11:30:00Z,CRE,USL,
2025-12-07T14:00:00Z,CAG,ROM,
2025-12-07T17:00:00Z,LAZ,BOL,
2025-12-07T19:45:00Z,NAP,JUV,
2025-12-08T14:00:00Z,PIS,PAR,
2025-12-08T17:00:00Z,UDI,GEN,
2025-12-08T19:45:00Z,TOR,MIL,
2025-12-12T19:45:00Z,USL,PIS,
2025-12-13T14:00:00Z,TOR,CRE,
2025-12-13T17:00:00Z,PAR,LAZ,
2025-12-13T19:45:00Z,ATA,CAG,
2025-12-14T11:30:00Z,MIL,SAS,
2025-12-14T14:00:00Z,FIO,HVE,
2025-12-14T14:00:00Z,UDI,NAP,
2025-12-14T17:00:00Z,GEN,INT,
2025-12-14T19:45:00Z,BOL,JUV,
2025-12-15T19:45:00Z,ROM,COM,
2025-12-20T17:00:00Z,LAZ,CRE,
2025-12-20T19:45:00Z,JUV,ROM,
2025-12-21T11:30:00Z,CAG,PIS,
2025-12-21T14:00:00Z,SAS,TOR,
2025-12-21T17:00:00Z,FIO,UDI,
2025-12-21T19:45:00Z,GEN,ATA,
2025-12-27T11:30:00Z,PAR,FIO,
2025-12-27T14:00:00Z,TOR,CAG,
2025-12-27T14:00:00Z,USL,COM,
2025-12-27T17:00:00Z,UDI,LAZ,
2025-12-27T19:45:00Z,PIS,JUV,
2025-12-28T11:30:00Z,MIL,HVE,
