month,country_or_territory,currency,code,rate
2021-01,Abu Dhabi,Dirham,AED,4.9576
2021-01,Albania,Lek,ALL,136.9400
2021-01,Algeria,Dinar,DZD,178.0100
2021-01,Angola,Readj Kwanza,AOA,885.2800
2021-01,Antigua,E Caribbean Dollar,XCD,3.6442
2021-01,Argentina,Peso,ARS,111.5200
2021-01,Armenia,Dram,AMD,708.4500
2021-01,Aruba,Florin,AWG,2.4159
2021-01,Australia,Dollar,AUD,1.7842
2021-01,Azerbaijan,New Manat,AZN,2.2931
2021-01,Bahamas,Dollar,BSD,1.3497
2021-01,Bahrain,Dinar,BHD,0.5089
2021-01,Bangladesh,Taka,BDT,114.3800
2021-01,Barbados,Dollar,BBD,2.6994
2021-01,Belarus,Rouble,BYN,3.4034
2021-01,Belize,Dollar,BZD,2.6994
2021-01,Benin,CFA Franc,XOF,726.4900
2021-01,Bermuda,Dollar (US),BMD,1.3497
2021-01,Bhutan,Ngultrum,BTN,99.3204
2021-01,Bolivia,Boliviano,BOB,9.3264
2021-01,Bosnia- Herzegovinia,Marka,BAM,2.1661
2021-01,Botswana,Pula,BWP,14.6800
2021-01,Brazil,Real,BRL,6.9190
2021-01,Brunei,Dollar,BND,1.7942
2021-01,Bulgaria,Lev,BGN,2.1661
2021-01,Burkina Faso,CFA Franc,XOF,726.4900
2021-01,Burundi,Franc,BIF,2623.8000
2021-01,Cambodia,Riel,KHR,5452.7500
2021-01,Cameroon Republic,CFA Franc,XAF,726.4900
2021-01,Canada,Dollar,CAD,1.7223
2021-01,Cape Verde Islands,Escudo,CVE,122.4100
2021-01,Cayman Islands,Dollar,KYD,1.1067
2021-01,Central African Republic,CFA Franc,XAF,726.4900
2021-01,Chad,CFA Franc,XAF,726.4900
2021-01,Chile,Peso,CLP,990.8300
2021-01,China,Yuan,CNY,8.8229
2021-01,Colombia,Peso,COP,4612.4700
2021-01,Comoros,Franc,KMF,544.8600
2021-01,Congo (Brazaville),CFA Franc,XAF,726.4900
2021-01,Congo (DemRep),Congo Fr,CDF,2658.8900
2021-01,Costa Rica,Colon,CRC,816.8000
2021-01,Cote d'Ivoire,CFA Franc,XOF,726.4900
2021-01,Croatia,Kuna,HRK,8.3424
2021-01,Cuba,Peso,CUP,1.3497
2021-01,Czech Republic,Koruna,CZK,29.0200
2021-01,Denmark,Krone,DKK,8.2413
2021-01,Djibouti,Franc,DJF,239.8600
2021-01,Dominica,E Caribbean Dollar,XCD,3.6442
2021-01,Dominican Republic,Peso,DOP,78.5100
2021-01,Dubai,Dirham,AED,4.9576
2021-01,Ecuador,Dollar,ECS,1.3497
2021-01,Egypt,Pound,EGP,21.1700
2021-01,El Salvador,Colon,SVC,11.8100
2021-01,Equatorial Guinea,CFA Franc,XAF,726.4900
2021-01,Eritrea,Nakfa,ERN,20.2400
2021-01,Ethiopia,Birr,ETB,52.0700
2021-01,Eurozone,Euro,EUR,1.1075
2021-01,Fiji Islands,Dollar,FJD,2.7532
2021-01,Fr. Polynesia,CFP Franc,XPF,132.1600
2021-01,Gabon,CFA Franc,XAF,726.4900
2021-01,Gambia,Dalasi,GMD,69.6700
2021-01,Georgia,Lari,GEL,4.4214
2021-01,Ghana,Cedi,GHS,7.9092
2021-01,Grenada,E Caribbean Dollar,XCD,3.6442
2021-01,Guatemala,Quetzal,GTQ,10.5200
2021-01,Guinea Bissau,CFA Franc,XOF,726.4900
2021-01,Guinea Republic,Franc,GNF,13448.3400
2021-01,Guyana,Dollar,GYD,282.6700
2021-01,Haiti,Gourde,HTG,94.3300
2021-01,Honduras,Lempira,HNL,32.5900
2021-01,Hong Kong,Dollar,HKD,10.4600
2021-01,Hungary,Forint,HUF,393.7300
2021-01,Iceland,Krona,ISK,171.8800
2021-01,India,Rupee,INR,99.3204
2021-01,Indonesia,Rupiah,IDR,19064.3900
2021-01,Iraq,Dinar,IQD,1606.1300
2021-01,Israel,Shekel,ILS,4.3879
2021-01,Jamaica,Dollar,JMD,193.4100
2021-01,Japan,Yen,JPY,139.7100
2021-01,Jordan,Dinar,JOD,0.9569
2021-01,Kazakhstan,Tenge,KZT,566.5800
2021-01,Kenya,Schilling,KES,150.6200
2021-01,Kuwait,Dinar,KWD,0.4113
2021-01,Kyrgyz Republic,Som,KGS,112.0100
2021-01,Lao People's Dem Rep,Kip,LAK,12538.6300
2021-01,Lebanon,Pound,LBP,2048.1500
2021-01,Lesotho,Loti,LSL,20.0300
2021-01,Liberia,Dollar (US),USD,1.3497
2021-01,Libya,Dinar,LYD,1.8153
2021-01,Macao,Pataca,MOP,10.7700
2021-01,Macedonia,Denar,MKD,68.1900
2021-01,Madagascar,Malagasy Ariary,MGA,5027.6000
2021-01,Malawi,Kwacha,MWK,1033.1400
2021-01,Malaysia,Ringgit,MYR,5.4683
2021-01,Maldive Islands,Rufiyaa,MVR,20.7800
2021-01,Mali Republic,CFA Franc,XOF,726.4900
2021-01,Mauritania,Ouguiya,MRU,48.2200
2021-01,Mauritius,Rupee,MUR,53.1100
2021-01,Mexico,Mexican Peso,MXN,26.9300
2021-01,Moldova,Leu,MDL,23.1800
2021-01,Mongolia,Tugrik,MNT,3858.7600
2021-01,Montserrat,E Caribbean Dollar,XCD,3.6442
2021-01,Morocco,Dirham,MAD,12.0300
2021-01,Mozambique,Metical,MZN,100.9100
2021-01,Myanmar,Kyat,MMK,1836.5700
2021-01,Nepal,Rupee,NPR,158.9100
2021-01,New Caledonia,CFP Franc,XPF,132.1600
2021-01,New Zealand,Dollar,NZD,1.9063
2021-01,Nicaragua,Gold Cordoba,NIO,46.9600
2021-01,Niger Republic,CFA Franc,XOF,726.4900
2021-01,Nigeria,Naira,NGN,524.3500
2021-01,Norway,Norwegian Krone,NOK,11.7300
2021-01,Oman,Rial,OMR,0.5196
2021-01,Pakistan,Rupee,PKR,216.2800
2021-01,Panama,Balboa,PAB,1.3497
2021-01,Papua New Guinea,Kina,PGK,4.7400
2021-01,Paraguay,Guarani,PYG,9412.7000
2021-01,Peru,New Sol,PEN,4.8389
2021-01,Philippines,Peso,PHP,64.8700
2021-01,Poland,Zloty,PLN,4.9191
2021-01,Qatar,Riyal,QAR,4.9142
2021-01,Romania,New Leu,RON,5.3939
